"DATA","ABERTURA","FECHAMENTO","VARIAÇÃO","MÍNIMO","MÁXIMO","VOLUME"
"07/02/2024","10,26","10,28","0,10","10,15","10,33","101,70M"
"06/02/2024","10,14","10,27","1,28","10,11","10,28","101,75M"
"05/02/2024","10,06","10,14","0,80","9,92","10,14","90,20M"
"02/02/2024","10,26","10,06","-1,76","10,00","10,30","139,02M"
"01/02/2024","10,13","10,24","1,09","10,04","10,24","131,13M"
"31/01/2024","9,96","10,13","1,81","9,95","10,24","218,73M"
"30/01/2024","10,02","9,95","-0,80","9,86","10,04","137,32M"
"29/01/2024","10,08","10,03","-0,40","9,98","10,13","56,13M"
"26/01/2024","10,06","10,07","0,20","9,96","10,13","97,05M"
"25/01/2024","9,98","10,05","0,70","9,94","10,08","92,26M"
"24/01/2024","10,03","9,98","-0,30","9,92","10,15","140,64M"
"23/01/2024","9,88","10,01","1,52","9,83","10,01","119,62M"
"22/01/2024","9,98","9,86","-1,20","9,81","10,03","121,21M"
"19/01/2024","9,95","9,98","0,30","9,89","9,99","102,71M"
"18/01/2024","10,13","9,95","-1,68","9,89","10,16","117,02M"
"17/01/2024","10,09","10,12","0,20","10,03","10,20","129,58M"
"16/01/2024","10,12","10,10","-1,17","10,03","10,18","142,98M"
"15/01/2024","10,09","10,22","0,99","10,08","10,22","87,41M"
"12/01/2024","10,14","10,12","-0,30","10,05","10,20","131,52M"
"11/01/2024","10,14","10,15","-0,39","10,07","10,26","131,38M"
"10/01/2024","10,27","10,19","-0,29","10,04","10,29","192,08M"
"09/01/2024","9,99","10,22","1,69","9,98","10,23","190,02M"
"08/01/2024","10,08","10,05","-0,30","9,98","10,10","144,19M"
"05/01/2024","9,97","10,08","0,80","9,93","10,13","186,46M"
"04/01/2024","10,08","10,00","-0,79","9,93","10,12","130,99M"
"03/01/2024","10,15","10,08","-0,69","10,03","10,20","150,29M"
"02/01/2024","10,35","10,15","-2,03","10,09","10,36","144,37M"
"28/12/2023","10,37","10,36","0,10","10,31","10,42","100,61M"
"27/12/2023","10,32","10,35","0,49","10,23","10,44","140,92M"
"26/12/2023","10,18","10,30","1,18","10,15","10,41","158,60M"
"22/12/2023","10,13","10,18","0,59","10,06","10,21","91,11M"
"21/12/2023","10,07","10,12","1,10","10,01","10,15","132,82M"
"20/12/2023","10,03","10,01","-0,20","9,99","10,09","75,09M"
"19/12/2023","9,91","10,03","1,31","9,90","10,09","168,56M"
"18/12/2023","9,93","9,90","-0,30","9,78","10,00","148,38M"
"15/12/2023","10,05","9,93","0,00","9,75","10,07","291,63M"
"14/12/2023","9,94","9,93","0,71","9,86","10,08","350,40M"
"13/12/2023","9,56","9,86","3,14","9,56","9,86","253,97M"
"12/12/2023","9,53","9,56","0,31","9,50","9,63","86,54M"
"11/12/2023","9,52","9,53","-0,42","9,47","9,59","93,20M"
"08/12/2023","9,58","9,57","0,10","9,51","9,65","169,96M"
"07/12/2023","9,54","9,56","0,21","9,46","9,60","146,38M"
"06/12/2023","9,47","9,54","0,95","9,42","9,55","161,85M"
"05/12/2023","9,22","9,45","2,27","9,22","9,50","203,92M"
"04/12/2023","9,35","9,24","-1,39","9,16","9,38","220,18M"
"01/12/2023","9,52","9,37","-0,95","9,33","9,56","164,99M"
"30/11/2023","9,43","9,46","0,53","9,34","9,57","1,47B"
"29/11/2023","9,53","9,41","-0,53","9,37","9,54","251,05M"
"28/11/2023","9,55","9,46","-0,94","9,43","9,66","253,11M"
"27/11/2023","9,49","9,55","0,84","9,40","9,56","227,03M"
"24/11/2023","9,34","9,47","1,18","9,28","9,52","260,64M"
"23/11/2023","9,32","9,36","0,43","9,29","9,40","98,12M"
"22/11/2023","9,27","9,32","0,87","9,26","9,44","261,46M"
"21/11/2023","9,32","9,24","-0,96","9,22","9,38","171,88M"
"20/11/2023","9,40","9,33","-0,11","9,22","9,40","206,02M"
"17/11/2023","9,43","9,34","-0,74","9,30","9,54","274,08M"
"16/11/2023","9,36","9,41","1,62","9,30","9,51","411,10M"
"14/11/2023","9,01","9,26","3,35","8,98","9,31","320,52M"
"13/11/2023","8,97","8,96","-0,11","8,88","9,03","121,23M"
"10/11/2023","8,82","8,97","1,70","8,82","9,02","159,14M"
"09/11/2023","8,92","8,82","-0,34","8,71","9,00","201,35M"
"08/11/2023","8,97","8,85","-1,12","8,79","9,00","208,01M"
"07/11/2023","8,83","8,95","1,24","8,83","9,03","165,44M"
"06/11/2023","8,77","8,84","1,38","8,66","8,88","112,99M"
"03/11/2023","8,70","8,72","1,40","8,64","8,83","138,19M"
"01/11/2023","8,39","8,60","2,50","8,34","8,61","184,15M"
"31/10/2023","8,36","8,39","0,24","8,27","8,39","143,06M"
"30/10/2023","8,55","8,37","-1,76","8,34","8,56","101,90M"
"27/10/2023","8,60","8,52","-1,05","8,42","8,68","153,77M"
"26/10/2023","8,32","8,61","3,86","8,30","8,69","301,95M"
"25/10/2023","8,38","8,29","-1,31","8,26","8,41","98,01M"
"24/10/2023","8,43","8,40","0,36","8,34","8,45","87,47M"
"23/10/2023","8,30","8,37","0,24","8,25","8,48","131,16M"
"20/10/2023","8,29","8,35","0,24","8,22","8,39","101,67M"
"19/10/2023","8,18","8,33","2,97","8,13","8,47","259,13M"
"18/10/2023","8,29","8,09","-2,65","8,03","8,29","117,88M"
"17/10/2023","8,40","8,31","-1,54","8,31","8,42","82,91M"
"16/10/2023","8,41","8,44","0,84","8,37","8,50","86,54M"
"13/10/2023","8,53","8,37","-2,11","8,36","8,55","87,31M"
"11/10/2023","8,55","8,55","0,12","8,46","8,60","97,86M"
"10/10/2023","8,43","8,54","1,43","8,38","8,55","125,33M"
"09/10/2023","8,26","8,42","0,96","8,22","8,43","111,68M"
"06/10/2023","8,25","8,34","-0,12","8,15","8,38","122,07M"
"05/10/2023","8,40","8,35","-0,60","8,29","8,50","151,27M"
"04/10/2023","8,50","8,40","-0,83","8,39","8,55","143,45M"
"03/10/2023","8,58","8,47","-1,85","8,44","8,65","125,85M"
"02/10/2023","8,72","8,63","-0,58","8,56","8,75","147,52M"
"29/09/2023","8,75","8,68","0,34","8,61","8,82","182,69M"
"28/09/2023","8,45","8,65","2,41","8,42","8,68","201,44M"
"27/09/2023","8,71","8,45","-2,90","8,38","8,73","189,04M"
"26/09/2023","8,84","8,70","-1,43","8,66","8,92","255,11M"
"25/09/2023","8,72","8,83","1,22","8,70","8,92","254,29M"
"22/09/2023","8,84","8,72","-0,33","8,67","8,84","118,53M"
"21/09/2023","8,73","8,75","0,00","8,66","8,88","214,30M"
"20/09/2023","8,73","8,75","0,33","8,69","8,82","109,50M"
"19/09/2023","8,80","8,72","1,35","8,68","8,91","230,98M"
"18/09/2023","8,79","8,60","-2,09","8,58","8,84","143,86M"
"15/09/2023","8,66","8,79","1,91","8,65","8,86","213,90M"
"14/09/2023","8,60","8,62","0,45","8,58","8,77","203,29M"
"13/09/2023","8,53","8,58","0,91","8,52","8,79","221,74M"
